kingdom;phylum;klass;order;family;genus;species;subspecies;scientific_name;author
Animalia;Chordata;Mammalia;Artiodactyla;Antilocapridae;Antilocapra;americana;;Antilocapra americana;(Ord, 1815)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Addax;nasomaculatus;;Addax nasomaculatus;(de Blainville, 1816)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ammotragus;lervia;;Ammotragus lervia;(Pallas, 1777)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Antilope;cervicapra;;Antilope cervicapra;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;gaurus;;Bos gaurus;C. H. Smith, 1827
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;mutus;;Bos mutus;Przewalski, 1883
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bos;sauveli;;Bos sauveli;Urbain, 1937
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Boselaphus;tragocamelus;;Boselaphus tragocamelus;(Pallas, 1766)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;arnee;;Bubalus arnee;(Kerr, 1792)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;depressicornis;;Bubalus depressicornis;(C. H. Smith, 1827)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;mindorensis;;Bubalus mindorensis;(Heude, 1888)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Bubalus;quarlesi;;Bubalus quarlesi;(Ouwens, 1910)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Budorcas;taxicolor;;Budorcas taxicolor;Hodgson, 1850
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;caucasica;;Capra caucasica;Güldenstaedt & Pallas, 1783
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;falconeri;;Capra falconeri;(Wagner, 1839)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;hircus;aegagrus;Capra hircus aegagrus;""
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capra;sibirica;;Capra sibirica;""
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;milneedwardsii;;Capricornis milneedwardsii;David, 1869
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;rubidus;;Capricornis rubidus;Blyth, 1863
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;sumatraensis;;Capricornis sumatraensis;(Bechstein, 1799)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Capricornis;thar;;Capricornis thar;(Hodgson, 1831)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;brookei;;Cephalophus brookei;Thomas, 1903
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;dorsalis;;Cephalophus dorsalis;Gray, 1846
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;jentinki;;Cephalophus jentinki;Thomas, 1892
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;ogilbyi;;Cephalophus ogilbyi;(Waterhouse, 1838)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;silvicultor;;Cephalophus silvicultor;(Afzelius, 1815)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Cephalophus;zebra;;Cephalophus zebra;Gray, 1838
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Damaliscus;pygargus;pygargus;Damaliscus pygargus pygargus;(Pallas, 1767)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;bennettii;;Gazella bennettii;""
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;cuvieri;;Gazella cuvieri;(Ogilby, 1841)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;dorcas;;Gazella dorcas;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Gazella;leptoceros;;Gazella leptoceros;(F. Cuvier, 1842)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Hippotragus;niger;variani;Hippotragus niger variani;(Thomas, 1916)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Kobus;leche;;Kobus leche;Gray, 1850
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;baileyi;;Naemorhedus baileyi;Pocock, 1914
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;caudatus;;Naemorhedus caudatus;(Milne-Edwards, 1867)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;goral;;Naemorhedus goral;(Hardwicke, 1825)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Naemorhedus;griseus;;Naemorhedus griseus;(Milne Edwards, 1871)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Nanger;dama;;Nanger dama;(Pallas, 1766)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oryx;dammah;;Oryx dammah;(Cretzschmar, 1827)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Oryx;leucoryx;;Oryx leucoryx;(Pallas, 1777)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;ammon;;Ovis ammon;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;ammon;hodgsonii;Ovis ammon hodgsonii;Blyth, 1841
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;ammon;nigrimontana;Ovis ammon nigrimontana;Severtzov, 1873
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;aries;;Ovis aries;Linnaeus, 1758
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;aries;ophion;Ovis aries ophion;Blyth, 1841
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;aries;vignei;Ovis aries vignei;Blyth, 1841
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Ovis;canadensis;;Ovis canadensis;Shaw, 1804
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pantholops;hodgsonii;;Pantholops hodgsonii;(Abel, 1826)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Philantomba;monticola;;Philantomba monticola;(Thunberg, 1789)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudois;nayaur;;Pseudois nayaur;(Hodgson, 1833)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Pseudoryx;nghetinhensis;;Pseudoryx nghetinhensis;Dung, Giao, Chinh, Touc, Arctander & MacKinnon, 1993
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Rupicapra;pyrenaica;ornata;Rupicapra pyrenaica ornata;Neumann, 1899
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Saiga;borealis;;Saiga borealis;(Tschersky, 1876)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Saiga;tatarica;;Saiga tatarica;(Linnaeus, 1766)
Animalia;Chordata;Mammalia;Artiodactyla;Bovidae;Tetracerus;quadricornis;;Tetracerus quadricornis;(de Blainville, 1816)
Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Lama;guanicoe;;Lama guanicoe;(P. L. S. Müller, 1776)
Animalia;Chordata;Mammalia;Artiodactyla;Camelidae;Vicugna;vicugna;;Vicugna vicugna;(Molina, 1782)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;calamianensis;;Axis calamianensis;(Heude, 1888)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;kuhlii;;Axis kuhlii;(Temminck, 1836)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;;Axis porcinus;(Zimmermann, 1780)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Axis;porcinus;annamiticus;Axis porcinus annamiticus;(Heude, 1888)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Blastocerus;dichotomus;;Blastocerus dichotomus;(Illiger, 1815)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;bactrianus;Cervus elaphus bactrianus;Lydekker, 1900
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;barbarus;Cervus elaphus barbarus;Bennett, 1833
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Cervus;elaphus;hanglu;Cervus elaphus hanglu;Wagner, 1844
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Dama;dama;mesopotamica;Dama dama mesopotamica;
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;antisensis;;Hippocamelus antisensis;(d'Orbigny, 1834)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Hippocamelus;bisulcus;;Hippocamelus bisulcus;(Molina, 1782)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Mazama;temama;cerasina;Mazama temama cerasina;Hollister, 1914
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;crinifrons;;Muntiacus crinifrons;(Sclater, 1885)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Muntiacus;vuquanghensis;;Muntiacus vuquanghensis;(Tuoc, Dung, Dawson, Arctander & MacKinnon, 1994)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Odocoileus;virginianus;mayensis;Odocoileus virginianus mayensis;""
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Ozotoceros;bezoarticus;;Ozotoceros bezoarticus;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;mephistophiles;;Pudu mephistophiles;(de Winton, 1896)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Pudu;puda;;Pudu puda;(Molina, 1782)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;duvaucelii;;Rucervus duvaucelii;(G. Cuvier, 1823)
Animalia;Chordata;Mammalia;Artiodactyla;Cervidae;Rucervus;eldii;;Rucervus eldii;(McClelland, 1842)
Animalia;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hexaprotodon;liberiensis;;Hexaprotodon liberiensis;(Morton, 1849)
Animalia;Chordata;Mammalia;Artiodactyla;Hippopotamidae;Hippopotamus;amphibius;;Hippopotamus amphibius;Linnaeus, 1758
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;anhuiensis;;Moschus anhuiensis;Wang, Hu & Yan, 1982
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;berezovskii;;Moschus berezovskii;Flerov, 1929
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;chrysogaster;;Moschus chrysogaster;(Hodgson, 1839)
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;cupreus;;Moschus cupreus;Grubb, 1982
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;fuscus;;Moschus fuscus;Li, 1981
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;leucogaster;;Moschus leucogaster;Hodgson, 1839
Animalia;Chordata;Mammalia;Artiodactyla;Moschidae;Moschus;moschiferus;;Moschus moschiferus;Linnaeus, 1758
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;babyrussa;;Babyrousa babyrussa;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;bolabatuensis;;Babyrousa bolabatuensis;Hoojer, 1950
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;celebensis;;Babyrousa celebensis;(Deninger, 1909)
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Babyrousa;togeanensis;;Babyrousa togeanensis;(Sody, 1949)
Animalia;Chordata;Mammalia;Artiodactyla;Suidae;Sus;salvanius;;Sus salvanius;(Hodgson, 1847)
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Catagonus;wagneri;;Catagonus wagneri;(Rusconi, 1930)
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Pecari;tajacu;;Pecari tajacu;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Artiodactyla;Tayassuidae;Tayassu;pecari;;Tayassu pecari;(Link, 1795)
Animalia;Chordata;Mammalia;Carnivora;Ailuridae;Ailurus;fulgens;;Ailurus fulgens;F. G. Cuvier, 1825
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;aureus;;Canis aureus;Linnaeus, 1758
Animalia;Chordata;Mammalia;Carnivora;Canidae;Canis;lupus;;Canis lupus;Linnaeus, 1758
